id,grid_code,geometry_wkt,ocean_fraction,orbit_state,datetime,product_type
BIO_S2_SCS__1S_20260528T090053_20260528T090114_T_G01_M03_C05_T035_F214_02_DS5HSP,WRS-35-214,"POLYGON ((120.75954 -68.145096, 122.246735 -68.31033, 123.11464 -67.11218, 121.65457 -66.94802, 120.75954 -68.145096))",0.007068640487835176,descending,2026-05-28T09:00:53.869Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T104952_20260528T105013_T_G01_M03_C05_T036_F248_02_DS5LDO,WRS-36-248,"POLYGON ((-55.62199 -71.23694, -57.342094 -71.425606, -56.04635 -72.600876, -54.22345 -72.40163, -55.62199 -71.23694))",1.0,ascending,2026-05-28T10:49:52.580Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T121734_20260528T121755_T_G01_M03_C05_T037_F215_02_DS5TRJ,WRS-37-215,"POLYGON ((70.60516 -69.239105, 72.16107 -69.411606, 73.140205 -68.22071, 71.66227 -68.0556, 70.60516 -69.239105))",1.0,descending,2026-05-28T12:17:34.935Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T121813_20260528T121833_T_G01_M03_C05_T037_F217_02_DS5TTB,WRS-37-217,"POLYGON ((68.33752 -71.429665, 70.05953 -71.618515, 71.241356 -70.437706, 69.61271 -70.25822, 68.33752 -71.429665))",0.9828037405100193,descending,2026-05-28T12:18:13.033Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T140206_20260528T140227_T_G01_M03_C05_T038_F235_02_DS5Y98,WRS-38-235,"POLYGON ((-57.885696 -83.50795, -60.414387 -84.02207, -48.59871 -84.554375, -46.894634 -83.99868, -57.885696 -83.50795))",0.0,ascending,2026-05-28T14:02:06.215Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T153454_20260528T153509_T_G01_M03_C05_T039_F218_02_DS629U,WRS-39-218,"POLYGON ((18.408209 -72.24884, 20.178255 -72.44118, 21.089788 -71.54262, 19.385368 -71.35612, 18.408209 -72.24884))",0.0,descending,2026-05-28T15:34:54.130Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T154018_20260528T154038_T_G01_M03_C05_T039_F235_02_DS5YCP,WRS-39-235,"POLYGON ((-82.51128 -83.52559, -85.01058 -84.03128, -73.57938 -84.52549, -71.87027 -83.980225, -82.51128 -83.52559))",1.1102230246251565e-16,descending,2026-05-28T15:40:18.009Z,S2_SCS__1S
BIO_S2_SCS__1S_20260521T115243_20260521T115303_T_G01_M03_C03_T022_F240_02_DRSLMO,WRS-22-240,"POLYGON ((-55.073215 -79.56407, -57.788986 -79.88104, -53.646957 -80.911285, -50.809082 -80.56572, -55.073215 -79.56407))",0.6344014608563153,ascending,2026-05-21T11:52:43.181Z,S2_SCS__1S
BIO_S2_SCS__1S_20260521T114408_20260521T114429_T_G01_M03_C03_T022_F213_02_DRSLU0,WRS-22-213,"POLYGON ((80.6976 -67.02824, 82.12062 -67.1884, 82.95334 -65.99031, 81.59766 -65.83629, 80.6976 -67.02824))",1.0,descending,2026-05-21T11:44:08.809Z,S2_SCS__1S
BIO_S2_SCS__1S_20260521T132257_20260521T132307_T_G01_M03_C03_T023_F215_02_DRSR71,WRS-23-215,"POLYGON ((54.943817 -68.629974, 56.44983 -68.79642, 56.876358 -68.22942, 55.40687 -68.066154, 54.943817 -68.629974))",2.220446049250313e-16,descending,2026-05-21T13:22:57.954Z,S2_SCS__1S
